"구분","오염원","d15N","d18O","Step1_Pass","ModZ_d15N","ModZ_d18O","Step2_Pass","MCD_Distance","Step3_Pass"
"농업계","장성천 논토양",0.53,7.29,TRUE,0.787031770856229,0.0268009573301959,TRUE,0.634295207331127,TRUE
"농업계","영산천 논토양",17.56,8.84,TRUE,1.78555000605002,0.199890473421044,TRUE,2.79786864280495,TRUE
"농업계","논침출수",9.12,6.12,TRUE,0.510588749614981,0.103853709654509,TRUE,0.209135451897217,TRUE
"농업계","밭토양",2.6,-0.02,TRUE,0.474333927157113,0.789511534685352,TRUE,1.29143702412448,TRUE
"농업계","밭토양",1.49,1.82,TRUE,0.642012481024755,0.584037528487184,TRUE,1.05823091268611,TRUE
"농업계","논토양(모내기 물)",-8.46,-0.63,TRUE,2.14507699542389,0.857630634566267,TRUE,5.83189031714655,TRUE
"농업계","논토양(모내기 물)",-8.98,-2.64,TRUE,2.22362911074927,1.08208865220666,TRUE,6.88589211163576,FALSE
"농업계","밭토양",-9.38,-1.64,TRUE,2.28405381484572,0.970417996664174,TRUE,6.76998653038789,FALSE
"농업계","논토양(모내기 물)",-12.09,0.98,TRUE,2.69343118509915,0.67784087914287,TRUE,7.86756281062958,FALSE
"농업계","논토양(모내기 물)",1.37,4.26,TRUE,0.660139892253689,0.311561128963527,TRUE,0.676024725928271,TRUE
"농업계","밭토양",4.07,1.58,TRUE,0.252273139602668,0.61083848581738,TRUE,0.713426285837341,TRUE
"농업계","농배수로(4번지점 옆)",6.17,1.68,TRUE,0.064956556903681,0.599671420263132,TRUE,0.573211303881126,TRUE
"농업계","논토양(모내기 물)",3.11,-12.58,TRUE,0.397292429434142,2.19209496829893,TRUE,7.29820055948404,FALSE
"농업계","논토양(모내기 물)",10.37,4.37,TRUE,0.69941594991638,0.299277356853853,TRUE,0.502854715095781,TRUE
"농업계","농배수로(EM27 옆)",7.91,-0.2,TRUE,0.327804019723228,0.809612252682999,TRUE,1.03692010198458,TRUE
"농업계","논토양(모내기 물)",7.82,3.13,TRUE,0.314208461301527,0.437748969726532,TRUE,0.361639414495403,TRUE
"농업계","논토양(방계인근)",5.39,1.02,TRUE,0.0528716160843916,0.67337405292117,TRUE,0.736942479695834,TRUE
"농업계","논토양(모내기 물)",7.15,0.47,TRUE,0.212997081939977,0.734792913469536,TRUE,0.842079887945393,TRUE
"농업계","논토양",-4.8,0.87,TRUE,1.59219095294139,0.690124651252543,TRUE,3.39840118577197,TRUE
"농업계","논토양",3.03,8.2,TRUE,0.409377370253432,0.128421253873855,TRUE,0.192852518894889,TRUE
