spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source,TN/TP,TOC/TN,Cl/TN,d15N/d18O,NH3N/NO3N,NO3N/Cl
JS-21,16.6,7.9,11.1,1.8,152.0,2.075,1.976,1.697333333,0.078,0.071,0.041,0.038,2.6,10.875,8.75,4.05,생활하수/처리수 영향,29.225352112676063,1.2530120481927711,5.240963855421686,2.160493827160494,0.04595443834366741,0.15607662832183908
JS-22,15.4,8.9,13.0,1.0,156.0,2.227,2.165,1.967666667,0.015,0.026,0.014,0.01,1.8,14.71966667,7.48,1.74,토양-질소 기원,85.65384615384615,0.8082622361921868,6.609639277054334,4.2988505747126435,0.007623242417817509,0.13367603432286146
JS-23,16.0,8.2,10.7,2.0,182.0,3.57,3.514,3.103666667,0.116,0.204,0.158,0.155,2.9,12.046,6.54,12.27,토양-질소 기원,17.5,0.8123249299719888,3.3742296918767507,0.5330073349633252,0.03737514767077917,0.25765122588411093
JS-24,15.2,8.9,13.8,1.8,162.0,2.334,2.242,1.923,0.036,0.097,0.059,0.054,3.5,10.375,7.52,3.73,토양-질소 기원,24.061855670103093,1.4995715509854326,4.44515852613539,2.0160857908847185,0.018720748829953195,0.18534939759036145
JS-25,15.8,8.4,12.0,1.7,158.0,2.278,2.232,1.914666667,0.061,0.089,0.055,0.049,2.8,10.67166667,7.69,4.36,토양-질소 기원,25.59550561797753,1.2291483757682176,4.684664912203687,1.7637614678899083,0.031859331470776575,0.17941589877263286
JS-26,14.1,7.3,11.7,1.1,155.0,1.492,1.427,1.167,0.013,0.04,0.019,0.012,3.0,10.69366667,8.29,2.86,생활하수/처리수 영향,37.3,2.0107238605898123,7.167336910187668,2.8986013986013983,0.011139674378748929,0.10913001461639911
JS-27,18.2,9.3,12.3,1.8,155.0,2.415,2.341,2.040333333,0.045,0.185,0.15,0.148,2.6,10.392,6.91,5.44,토양-질소 기원,13.054054054054054,1.0766045548654244,4.303105590062112,1.2702205882352942,0.02205521973894057,0.1963369258083141
JS-28,15.3,8.6,14.7,1.0,235.0,4.085,4.026,3.882,0.025,0.048,0.033,0.026,2.3,15.652,8.3,3.67,생활하수/처리수 영향,85.10416666666666,0.5630354957160343,3.831578947368421,2.26158038147139,0.006439979392065946,0.2480194224380271
JS-29,14.7,7.8,10.9,1.9,145.0,2.162,2.141,1.821666667,0.029,0.08,0.044,0.036,3.0,10.05566667,7.02,4.09,토양-질소 기원,27.025,1.387604070305273,4.651094666975023,1.7163814180929096,0.01591948764576039,0.18115821921929318
JS-30,12.3,7.3,10.4,0.6,152.0,2.887,2.881,2.768333333,0.012,0.025,0.014,0.009,1.5,10.09466667,9.19,2.41,생활하수/처리수 영향,115.47999999999999,0.5195704883962591,3.4965939279528926,3.813278008298755,0.004334738110094489,0.2742372208511963
