spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source
JS-7,19.7,7.1,8.1,2.2,126,1.532,1.367,0.73,0.172,0.089,0.038,0.024,4.5,8.982,5.49,0.44,
JS-8,18.8,7.2,9.1,1.8,132,2.538,2.461,1.764,0.114,0.225,0.179,0.176,3.7,9.257,9.11,7.68,
JS-9,20.5,7.5,8.8,2.4,125,1.64,1.508,0.949,0.127,0.114,0.061,0.051,4.2,9.453,8.7,4.07,
JS-10,22.3,7.2,11.5,1.7,197,2.169,2.051,1.521,0.093,0.136,0.089,0.081,4.4,17.413,10.93,1.68,
JS-11,21.5,7.5,8.4,2.4,155,2.629,2.474,1.498,0.288,0.217,0.145,0.143,5.2,11.307,8.42,4.56,
JS-12,21.6,7.6,9,2,120,1.687,1.495,1.019,0.201,0.084,0.023,0.016,3.2,6.702,5.75,1.47,
JS-13,21.7,8.1,10.2,1.4,141,2.039,1.932,1.354,0.086,0.128,0.087,0.086,4.1,9.469,8.01,4,
JS-14,21.9,7.6,8.5,2,193,1.016,0.918,0.298,0.135,0.141,0.102,0.096,4.9,12.946,8.84,2.7,
JS-15,21.1,7.2,7.7,1.4,161,1.871,1.79,1.24,0.068,0.13,0.09,0.088,4.5,10.392,8.58,6.7,
JS-16,21.5,7.1,6.9,5.7,215,5.901,2.296,0.787,0.616,3.635,0.365,0.324,36.7,18.959,7.21,4.17,
JS-17,21.3,7.1,7.6,1.7,171,2.054,1.905,1.276,0.135,0.191,0.11,0.107,4.9,11.357,9.04,6.43,
JS-18,18.2,7.2,7.9,1,237,0.954,0.911,0.754,0.027,0.032,0.012,0.011,1.6,7.422,8.87,1.45,
JS-19,22.8,7.9,10.1,3.3,184,1.624,1.403,0.978,0.026,0.122,0.058,0.055,4.4,11.257,10.48,6.58,
JS-20,23.1,7.8,9.4,4.4,274,2.407,2.05,0.922,0.342,0.159,0.055,0.038,6.1,19.378,8.19,3.22,
JS-21,22.7,7.5,9.5,3.1,238,2.5,2.288,1.442,0.239,0.139,0.074,0.063,5.3,17.664,9.77,3.74,
