spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
무안2,247.733,13.3,7.9,10,3.8,8.8,8.9,2560,4.464,4.391,2.506,1.206,0.069,0.025,0.006,33.4,7.1,6200,12,698,9.5,4.6,생활하수/처리수 영향
고막원천4,4.895,12.9,7,9.6,2.9,8.3,32.3,198,3.965,3.794,2.929,0.272,0.206,0.124,0.12,17,6.5,9700,320,26.9,5.4,2.1,내생부하(정체수역 유기물 축적)
요천3,5.028,14,6.9,10.4,1,4.6,6.7,193,2.729,2.672,2.225,0.022,0.048,0.021,0.009,9.9,4,3200,23,21.2,6.8,2.7,토양-질소 기원
오수천2,5.319,17,8.2,11,1.2,4.3,5.7,190,2.127,0.23067,0.10296,0.004714682,0.052,0.00495,0,2.871,3.5,3.263064017,0,15.8,8.3,3.6,생활하수/처리수 영향
죽산,0.002938167,15,6.9,8.9,2.4,7,9.5,164,3.455,3.274,2.041,0.769,0.161,0.089,0.075,23.1,5.4,6700,120,15.9,3.5,1.1,내생부하(정체수역 유기물 축적)
황룡강5,8.18,16.5,6.3,9.7,1.6,5.4,16.9,191,2.475,2.373,1.862,0.107,0.075,0.031,0.02,9.9,4,13000,110,21.7,5.1,2.3,토양-질소 기원
지석천4,20.306,16,6.6,9.4,1.8,5.9,25.4,175,3.147,3.027,2.584,0.152,0.159,0.112,0.107,4.8,4.2,37000,6600,13,6.9,2.5,토양-질소 기원
나주,0.031694458,17.6,7.2,9.1,3.4,6.8,11.4,208,3.809,3.67,2.009,1.356,0.172,0.093,0.077,22,5.7,40000,980,23.5,3.5,0.7,내생부하(정체수역 유기물 축적)
삼포천2,0.03441587,17.3,7.3,8.7,5.3,10.9,38.8,279,4.28,4.045,2.408,0.784,0.312,0.195,0.169,38.2,7.9,0.000694988,0,34.1,6.8,2.5,내생부하(정체수역 유기물 축적)
우치,0.085895437,20.1,7.3,8.4,2.4,5.2,7.4,243,1.875,1.688,1.316,0.046,0.099,0.039,0.032,20.6,4.2,20000,310,25.4,7.1,6.1,내생부하(정체수역 유기물 축적)
광산,15.897,19.6,6.9,7,7.2,8.8,14,268,4.406,4.022,1.138,2.678,0.219,0.047,0.024,80.5,7.8,110000,5000,33.7,3.1,2.7,내생부하(정체수역 유기물 축적)
함평,53.363,15.5,6.9,7.2,2.7,7.8,13.6,178,3.704,3.664,2.139,0.882,0.186,0.118,0.101,16.3,6.3,17.515653,0,18.9,4.9,4.1,내생부하(정체수역 유기물 축적)
무안2,161.715,13.9,7.3,7.9,1.6,6.8,5.9,2969,4.757,4.63,2.284,1.828,0.086,0.055,0.037,7.2,6,9400,10,502.8,6.7,3.4,토양-질소 기원
고막원천4,2.522,16.3,6.5,8.9,2.1,6.9,32.9,191,3.557,3.48,2.921,0.058,0.185,0.092,0.081,19.8,5.4,41.73224657,0,32.5,5.8,2.8,내생부하(정체수역 유기물 축적)
요천3,4.601,19.1,8.2,10,1.4,4.5,8.7,173,2.572,2.488,2.056,0.035,0.062,0.033,0.024,9.1,3.5,1500,11,19.9,7.4,2.3,토양-질소 기원
오수천2,2.585,16.2,7.1,10.1,1.2,4.3,3.7,189,1.825,0.23067,0.10296,0.003956927,0.06,0.00495,0,2.722468113,3.2,2.018317856,0,16.4,8.7,4.2,생활하수/처리수 영향
죽산,0.265772601,19.3,8.1,12.6,5.9,8.3,9.8,238,4.065,3.531,1.91,1.255,0.114,0.032,0.008,46.3,5.7,3300,40,28,7.3,2.9,내생부하(정체수역 유기물 축적)
황룡강5,5.6,19.3,8.3,10.4,4.3,7.1,19.7,204,1.827,1.519,1.105,0.025,0.099,0.017,0.005,50.7,5.2,23000,210,21.2,5.8,4.4,내생부하(정체수역 유기물 축적)
지석천4,8.298,19.3,7.2,9.8,2,5,9.8,198,2.818,2.693,2.157,0.061,0.168,0.11,0.107,18.1,3.8,13000,550,14.2,8.5,5,생활하수/처리수 영향
나주,1.00E-06,19.7,7.8,10.7,7,8.7,16.9,265,4.946,4.515,1.44,2.869,0.209,0.065,0.045,67.4,6.8,54000,2500,32.5,5.7,3.3,내생부하(정체수역 유기물 축적)
삼포천2,0.428963113,18.2,6.4,8.2,5.3,11.7,56.9,315,4.111,3.777,2.435,0.534,0.22,0.071,0.055,28.2,8,20.8597746,0,44.4,9.2,3.3,생활하수/처리수 영향
우치,1.00E-06,20.7,7,12.1,4.1,6.1,12,276,1.428,1.121,0.861,0.023,0.091,0.022,0.007,51.5,6,13000,20,36.4,11.7,9.9,조류증식(현장발생)
광산,9.121,20.1,7.3,8.6,8.7,13.8,15.6,369,7.132,6.319,1.224,5.007,0.161,0.046,0.009,81.2,9.1,13000,57,51,10.5,3.5,생활하수/처리수 영향
함평,34.896,17.3,7.2,8.4,3.2,6.1,11.1,203,3.29,3.148,2.056,0.559,0.09,0.048,0.035,12.5,4.8,38.71253205,0,22.6,5.5,2.9,토양-질소 기원
무안2,133.65,14.8,7,6.9,2.3,7.3,6.5,4382,4.257,4.135,2.16,1.435,0.082,0.05,0.037,12.6,5.6,4200,0,483.2,5.4,2.8,토양-질소 기원
고막원천4,2.047,15.5,7.7,10.3,5.2,6.9,29.2,217,2.813,2.433,1.932,0.032,0.15,0.042,0.026,54.7,5.8,0.592649852,0,21.5,5.4,2.7,내생부하(정체수역 유기물 축적)
요천3,3.664,16.5,7.1,10.3,1.5,4.6,6.5,195,2.212,2.06,1.645,0.051,0.063,0.028,0.019,9.6,3.8,6000,50,21,7.9,0.5,토양-질소 기원
오수천2,2.232,19.5,7.8,10,1.4,5,7.7,210,1.329,0.23067,0.10296,0.003537426,0.061,0.00495,0,0.204426467,4.2,56.02352534,0,19.3,9.8,4.9,생활하수/처리수 영향
죽산,0.011304604,19,7.8,9.2,5.8,9.6,7.4,269,4.284,3.853,1.574,1.883,0.109,0.046,0.001,49.9,7,11000,15,33.5,8.1,3.5,생활하수/처리수 영향
황룡강5,0.853,20.2,7.7,10.3,5.1,5.9,13.9,228,1.381,1.136,0.606,0.198,0.087,0.031,0.008,27.7,5.3,31000,460,27.2,8.8,6.6,생활하수/처리수 영향
지석천4,4.414,20.7,8.6,12.2,3.4,5.8,14.2,195,2.788,2.556,1.977,0.036,0.207,0.142,0.133,39.1,5,13000,10,17.5,11.5,4.6,생활하수/처리수 영향
나주,0.000272139,19.4,7,6.2,4.9,6.9,7.2,294,5.308,4.865,1.267,1.95,0.129,0.065,0.043,18.7,6.4,31000,200,39.8,9.7,4.1,생활하수/처리수 영향
삼포천2,0.053933028,20,7.8,9.3,5.7,12,50.7,329,3.151,2.663,2.005,0.034,0.183,0.038,0.016,66.6,8.1,77.22,0,53,8.5,5.3,생활하수/처리수 영향
함평,19.575,18.6,7.8,9.8,5.6,6.8,9.9,259,3.725,3.633,1.844,1.196,0.065,0.028,0.004,35.9,6.7,0.000558956,0,32.6,8.4,3.2,생활하수/처리수 영향
무안2,71.85,15.5,7.3,5.9,3.8,7.2,7.9,4189,3.699,3.598,2.288,0.73,0.061,0.038,0.027,12.2,5.9,7400,2,763.1,10.5,2.2,생활하수/처리수 영향
고막원천4,1.082,19.2,8.9,11.4,6.1,7.3,25.8,245,1.982,1.643,1.178,0.007,0.108,0.029,0.008,69.1,6.4,0.000842021,0,35.4,11.3,7.4,생활하수/처리수 영향
요천3,3.263,19.2,7.8,9.7,2.1,5.9,10.1,224,1.986,1.749,1.461,0.043,0.069,0.024,0.013,13,4.6,5300,65,25.1,9.7,1.7,생활하수/처리수 영향
