spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
JS-26,0.000111247,25.5,7,6.3,1,6.8,2.27822916,182,1.401,1.296,0.904,0.091,0.171,0.097,0.093,0.095997899,5,21.07600886,0,10.148,9.08,1.4,생활하수/처리수 영향
JS-27,0.232904994,25.8,7.2,6.4,1.1,4.7,0.120926037,197,2.422,2.284,1.993,0.108,0.144,0.085,0.084,0.803717323,3.7,39.5504384,0,11.439,8.57,2.86,생활하수/처리수 영향
JS-28,1.51E-05,23.9,7.3,6.8,1,5.2,0.767040918,271,3.131,3.036,2.798,0.089,0.084,0.045,0.037,2.871,4,0.517353641,0,15.322,9.38,3.81,생활하수/처리수 영향
JS-29,1.55E-05,26.4,6.5,6.3,1,5.4,0.207718265,192,2.095,1.955,1.624,0.116,0.154,0.098,0.095,0.318568172,4,33.35625017,0,10.857,9.07,2.54,생활하수/처리수 영향
JS-30,0.0016874,22.5,7.6,5.4,0.5,2.6,3.663,204,2.045,2.018,1.893,0.035,0.047,0.029,0.027,0.156832138,1.9,39.12906299,0,11.657,13.35,3.66,생활하수/처리수 영향
JS-31,2.38E-05,26.5,7.1,6.8,1.8,5.2,0.096475089,196,2.014,1.946,1.633,0.087,0.131,0.086,0.084,2.761334929,3.8,0.283748769,0,11.191,9.42,2.26,생활하수/처리수 영향
JS-32,0.003758503,26,6.9,5.4,1.2,6.8,0.861172573,220,1.912,1.723,1.205,0.216,0.286,0.179,0.176,0.726674319,5.2,0.041964259,0,13.019,9.68,2.73,생활하수/처리수 영향
JS-33,0.000126584,25.3,7.4,7.6,2.5,8,3.230643191,210,2.651,2.426,1.54,0.521,0.269,0.083,0.08,2.871,6.3,0.043131652,0,18.045,5.7,4.75,토양-질소 기원
JS-34,0.006005461,27,7.2,6.6,1,5.7,0.276995394,200,2.077,2.031,1.603,0.104,0.144,0.092,0.09,2.871,4.1,77.22,0,11.774,9.36,2.82,생활하수/처리수 영향
JS-35,0.003034354,25.9,7.1,4.6,1,7.5,0.148544353,303,2.839,2.833,2.212,0.107,0.163,0.122,0.101,0.776090699,6.1,0.064786613,0,20.501,10.91,6.07,생활하수/처리수 영향
JS-36,0.001193171,26.4,6.8,7.1,1,5.6,2.990762486,205,2.252,2.248,1.795,0.111,0.149,0.129,0.115,0.428645608,4.3,77.22,0,13.656,9.63,2.47,생활하수/처리수 영향
JS-20B,0.000426541,24.7,6.8,7.1,7.4,12.1,0.56177105,315,8.577,7.943,5.21,2.182,0.451,0.217,0.201,0.848641161,9.3,0.321070318,0,37.715,11.7,0.36,생활하수/처리수 영향
JS-9B,0.108367041,24.6,6.9,7,1.6,6.9,2.839893492,358,1.048,0.967,0.518,0.14,0.103,0.065,0.035,0.787841265,4.7,18.24910527,0,56.935,20.62,0.06,생활하수/처리수 영향
JS-1,0.039232966,22,7.6,8.7,1,3.1,1.050334136,93,1.093,0.965,0.776,0.028,0.032,0.022,0.007,0.327691088,1.9,77.22,0,7.355,4.04,3.23,토양-질소 기원
JS-2,0.003167362,23.2,7.3,8,1.1,3.8,2.162982001,59,0.966,0.795,0.658,0.027,0.033,0.014,0,0.139420864,2.5,18.06282588,0,3.779,4.16,3.24,토양-질소 기원
JS-3,0.002906764,22.8,7.2,8.4,1.1,3.7,0.359591461,68,1.025,0.811,0.691,0.02,0.03,0.014,0,0.14114189,2.3,1.026565068,0,4.556,4.56,3.31,토양-질소 기원
JS-4,0.029896486,23.2,7.2,8.4,0.8,3.6,0.675641182,57,0.894,0.708,0.595,0.026,0.03,0.016,0.002,2.871,2.2,11.52615324,0,3.945,3.74,3.08,토양-질소 기원
JS-5,0.000211428,22.9,7.1,8.4,1.2,3.8,0.536799505,68,0.985,0.822,0.699,0.025,0.031,0.015,0.001,0.169300337,2.5,5.292341956,0,4.619,4.84,3.06,토양-질소 기원
JS-6,0.07233131,22.5,7.2,8.5,1.1,3.1,0.283958325,75,1.052,0.913,0.794,0.028,0.043,0.025,0.01,2.871,2.2,77.22,0,4.891,5.85,3.45,토양-질소 기원
JS-7,0.000162218,22.9,7.1,8.1,1,3.3,0.133942397,71,1.002,0.854,0.752,0.022,0.032,0.018,0.004,0.346306018,2.1,68.51695465,0,4.844,5.44,3.11,토양-질소 기원
JS-8,0.005398959,22.8,6.6,8.3,1,2.9,0.135395135,80,1.394,1.254,1.129,0.034,0.076,0.057,0.048,1.424230126,1.9,0.524515992,0,5.136,6.88,4.84,토양-질소 기원
JS-9,0.294224785,23.2,6.8,8.5,0.9,3.3,1.648406888,77,1.171,1.01,0.921,0.025,0.048,0.035,0.02,2.82754899,2,2.837495523,0,5.11,6.38,4.01,토양-질소 기원
JS-10,0.000759629,22.4,6.7,8.5,1.3,3.9,0.158879751,61,0.788,0.63,0.486,0.04,0.047,0.032,0.018,0.737865667,2.5,0.407067622,0,5.174,5.6,3.19,토양-질소 기원
JS-11,0.257048711,24.4,6.7,8,1,3.5,2.308240604,83,1.333,1.162,1.022,0.053,0.098,0.07,0.059,0.582320232,2.2,2.868330332,0,5.457,7.77,4.05,토양-질소 기원
JS-12,0.001744165,19.6,6.7,8.9,0.8,3.2,0.298094184,80,1.551,1.325,1.222,0.032,0.023,0.01,0.002,1.532201413,2.1,77.22,0,4.802,5.33,2.58,토양-질소 기원
JS-13,0.84447,23,6.7,8.4,1.4,3.7,1.000807743,83,1.432,1.239,1.102,0.033,0.051,0.032,0.017,1.104460519,2.2,1.783192494,0,5.252,6.31,3.55,토양-질소 기원
JS-14,0.624718627,24.6,6.8,8.6,1.5,4,0.786453481,110,1.52,1.295,1.142,0.031,0.068,0.05,0.037,1.06369944,2.7,77.22,0,6.626,6.58,3.86,토양-질소 기원
JS-15,0.001206765,23.4,7.2,8.5,1.4,3.5,1.641686729,88,1.438,1.253,1.113,0.023,0.063,0.042,0.028,2.871,2.3,3.126266988,0,5.354,6.33,4.24,토양-질소 기원
JS-16,1.00E-06,25.4,7,7.6,1.4,6.6,0.470772012,141,2.179,1.914,1.628,0.026,0.077,0.054,0.038,0.431288872,4.6,3.553365617,0,8.129,7.76,3.75,토양-질소 기원
JS-17,0.000864613,24,7.1,8.6,1.5,3.9,1.06734814,90,1.553,1.318,1.16,0.027,0.069,0.049,0.036,2.871,2.5,2.463159884,0,5.632,6.59,4.16,토양-질소 기원
JS-18,0.000658146,25.4,6.9,6.8,1.5,5.1,0.799618415,158,1.32,1.041,0.884,0.041,0.025,0.015,0.003,0.38507334,3.3,77.22,0,5.735,5.72,3.28,토양-질소 기원
JS-19,0.094415827,24.8,7,8.3,1.4,4.3,0.965091012,101,1.554,1.236,1.089,0.023,0.067,0.04,0.027,2.478774713,2.8,0.001950941,0,5.539,6.53,3.1,토양-질소 기원
JS-20,0.000548173,24.4,7,8.2,1.6,4.2,1.961548751,146,2.403,2.092,1.866,0.054,0.087,0.053,0.038,2.871,2.9,1.55456829,0,7.717,7.25,2.84,토양-질소 기원
JS-21,0.128445555,25,7,7.8,1.5,4.4,0.361540506,119,1.882,1.589,1.41,0.072,0.094,0.055,0.041,2.871,3,1.305077327,0,6.802,7.18,3.1,토양-질소 기원
JS-22,0.095711986,22.8,7.5,8,1.1,3.6,0.630456836,170,2.874,2.625,2.479,0.03,0.064,0.045,0.032,0.921907784,2.7,77.22,0,10.022,7.13,2.15,토양-질소 기원
JS-23,0.000164684,25.1,7.5,7.9,1.5,4.5,0.327245843,124,1.801,1.57,1.395,0.052,0.097,0.061,0.045,2.238541146,3,77.22,0,6.571,7.25,3.07,토양-질소 기원
JS-24,0.02457397,25.6,7.4,7.7,1.8,6.4,1.133528518,164,2.496,2.261,1.911,0.06,0.102,0.073,0.053,2.871,4.3,0.412986511,0,8.156,6.62,3.69,토양-질소 기원
JS-25,0.000690555,25,7.2,7.7,1,5,3.663,136,2.136,1.846,1.61,0.047,0.107,0.067,0.05,0.035356975,3.5,22.65655618,0,7.229,6.96,2.81,토양-질소 기원
JS-26,0.001763481,26,6.9,6.7,0.8,6.4,2.533149637,158,1.748,1.498,1.25,0.027,0.11,0.072,0.057,0.701041886,4.5,1.62773514,0,8.538,7.96,2.08,토양-질소 기원
JS-27,0.001883655,25.2,7.3,7.4,0.9,4.2,0.690250016,133,2.066,1.819,1.636,0.044,0.101,0.063,0.048,0.648297581,3.1,77.22,0,7.177,7.24,3.14,토양-질소 기원
JS-28,0.195430191,24.5,7.2,7.7,0.7,4.3,3.516316654,251,4.597,4.228,4.096,0.029,0.092,0.075,0.061,2.871,3.2,21.96455711,0,12.396,7.14,3.58,토양-질소 기원
JS-29,0.001428498,25.6,7.2,7,1,4.5,0.569413888,131,2.147,1.844,1.613,0.06,0.101,0.071,0.055,2.871,3.2,2.601474339,0,7.154,6.6,2.85,토양-질소 기원
JS-30,2.44E-05,23,7.5,7.5,0.6,3.8,0.040085879,178,4.399,4.137,4.004,0.023,0.057,0.044,0.028,0.387566835,2.8,0.066338191,0,9.116,8.79,2.52,생활하수/처리수 영향
JS-31,0.142196073,25.6,6.7,7.5,0.9,4.9,0.517364363,132,2.219,1.877,1.722,0.063,0.118,0.07,0.058,2.16755136,3.5,77.22,0,7.032,6.78,3,토양-질소 기원
JS-32,2.15E-05,24.7,7.1,6.5,0.8,5.7,3.214877981,186,2.673,2.259,1.976,0.044,0.161,0.094,0.077,0.715607335,3.9,0.058823184,0,11.037,9.19,3.3,생활하수/처리수 영향
JS-33,0.003133589,26.8,8.8,6.7,1.2,5,2.920861899,254,2.973,2.611,2.143,0.155,0.15,0.105,0.092,0.873953209,3.6,43.10369512,0,19.747,8.93,2.5,생활하수/처리수 영향
JS-34,0.000437553,26,6.9,7.6,0.9,4.7,0.329108365,133,2.361,1.908,1.717,0.042,0.115,0.073,0.057,1.724853794,3.3,1.05190957,0,7.134,6.89,2.83,토양-질소 기원
JS-35,0.140127996,27.2,6.9,6.4,1.1,6.3,1.465360658,186,2.229,1.879,1.531,0.055,0.169,0.096,0.08,0.917463283,4.5,77.22,0,10.725,8.34,3.67,생활하수/처리수 영향
JS-36,0.015864394,26.5,7.3,7.7,1,5,1.237917162,139,2.472,1.996,1.802,0.044,0.148,0.088,0.073,0.17110138,3.6,77.22,0,7.431,7.51,2.96,토양-질소 기원
JS-20B,0.087055956,23.8,6.8,7.3,9.2,13.8,1.489223845,288,8.726,7.317,3.525,3.309,0.691,0.261,0.233,1.977702164,9.1,77.22,0,28.954,12.29,2.32,생활하수/처리수 영향
JS-1,9.26E-05,26.9,7.6,8,0.9,3.8,3.663,120,0.587,0.529,0.369,0.03,0.06,0.037,0.025,0.162146253,2.7,0.2379544,0,9.477,6.48,4.31,토양-질소 기원
JS-2,0.003067089,27.5,7.1,7,0.8,3.8,0.160364963,90,0.832,0.792,0.623,0.042,0.035,0.019,0.006,1.099293146,2.6,77.22,0,4.957,7.12,2.07,토양-질소 기원
JS-3,1.74E-05,27.3,7,8,0.8,3.7,1.252878701,113,0.754,0.703,0.553,0.036,0.041,0.021,0.012,0.588705073,2.5,0.048010884,0,7.197,7.98,3.39,토양-질소 기원
JS-4,0.041667993,27.1,7.2,7.6,0.7,4.1,0.152961131,85,0.516,0.472,0.307,0.054,0.04,0.025,0.01,2.433049766,2.7,77.22,0,4.763,7.23,2.39,토양-질소 기원
JS-5,0.000132743,27.9,7.1,7.3,0.9,3.8,0.796310199,111,0.934,0.863,0.656,0.062,0.048,0.028,0.016,2.344391055,2.5,0.336001183,0,7.192,7.29,5.72,토양-질소 기원
JS-6,0.101109461,27.4,7.4,9.7,0.9,3.6,0.47530771,87,0.54,0.48,0.341,0.036,0.047,0.021,0.011,2.871,2.5,7.744199793,0,4.903,6.94,4.21,토양-질소 기원
JS-7,0.009308931,27.2,7,7,0.7,3.6,1.621710798,102,0.751,0.686,0.532,0.045,0.038,0.021,0.009,0.30289102,2.3,8.934465831,0,6.51,8.08,4.28,생활하수/처리수 영향
JS-8,0.132206149,27.1,6.9,6.3,0.7,3.9,1.569759969,132,1.537,1.475,1.23,0.058,0.209,0.187,0.183,1.089020847,2.6,77.22,0,7.285,11.84,8.41,생활하수/처리수 영향
JS-9,0.063566996,28.9,7.1,7.6,0.8,3.6,2.390766795,116,1.134,1.055,0.869,0.062,0.099,0.083,0.077,0.148069863,2.3,77.22,0,6.459,9.56,7.55,생활하수/처리수 영향
JS-10,0.000199571,29.2,7.2,8,1.6,4.6,0.264973269,114,0.89,0.738,0.483,0.072,0.128,0.087,0.077,2.800844699,3.1,0.496336537,0,6.769,9.84,3.75,생활하수/처리수 영향
JS-11,0.001248402,30.4,7.4,7.4,0.7,4.2,0.789727785,131,1.416,1.336,1.062,0.084,0.151,0.119,0.116,0.353416276,2.8,0.163197741,0,7.294,9.8,5.49,생활하수/처리수 영향
JS-12,6.24E-05,30.4,7.5,8,0.5,3.1,0.141221791,116,1.075,1.006,0.874,0.023,0.029,0.011,0.004,1.299339453,2.1,8.754028692,0,4.823,7.64,3.6,토양-질소 기원
JS-13,0.0053418,29.6,7.7,8.4,0.6,3.6,1.834688146,126,1.217,1.183,0.993,0.03,0.082,0.059,0.052,1.372990212,2.3,0.311405259,0,6.197,8.89,4.53,생활하수/처리수 영향
JS-14,0.000122604,30.2,7.2,7.2,1.4,6.6,0.303469154,185,1.125,1.029,0.486,0.201,0.193,0.118,0.113,1.33569578,4.6,0.425028112,0,9.327,8.78,3.66,생활하수/처리수 영향
JS-15,0.000169706,31,7,6.4,0.8,4,3.663,120,1.099,1.018,0.807,0.035,0.09,0.068,0.058,2.871,2.5,41.28567356,0,6.8,8.91,3.92,생활하수/처리수 영향
JS-16,0.088234783,29.5,7,7.3,1.2,5.2,0.969001166,144,0.944,0.847,0.516,0.103,0.087,0.046,0.031,0.420770339,3.6,12.37789959,0,7.8,8.86,3.47,생활하수/처리수 영향
JS-17,0.007354261,30.5,7.1,6.6,0.9,4.2,2.626300284,124,1.174,1.115,0.866,0.043,0.119,0.091,0.084,0.255891987,2.7,0.007686635,0,6.944,9.4,3.55,생활하수/처리수 영향
JS-18,2.56E-06,27,7,6.9,0.7,3.4,2.55602505,204,1.655,1.598,1.452,0.024,0.039,0.024,0.017,1.360452581,2.4,77.22,0,6.931,10.18,2.07,생활하수/처리수 영향
JS-19,0.252818773,31.6,7.8,8.7,1.4,4.3,0.353775886,127,0.936,0.834,0.639,0.026,0.089,0.055,0.045,0.341605476,2.9,77.22,0,6.781,9.58,3.37,생활하수/처리수 영향
JS-20,0.021686673,31.3,7.6,7.5,1.5,4.5,0.228460955,217,1.655,1.566,1.175,0.076,0.101,0.057,0.045,0.392579401,3.3,12.00538555,0,9.865,9.19,3.42,생활하수/처리수 영향
JS-21,0.007198849,31.1,7.2,7,1.5,4.8,0.961195201,180,1.796,1.742,1.313,0.161,0.114,0.085,0.075,2.871,3.4,0.258012499,0,11.118,10.18,2.82,생활하수/처리수 영향
JS-22,0.000100724,29.5,7.4,7.4,0.9,4.3,0.294533524,281,1.255,1.219,0.864,0.037,0.056,0.042,0.033,1.772633185,3.1,0.175272327,0,27.504,18.36,-1.54,생활하수/처리수 영향
JS-23,6.72E-05,31.5,7.3,7.5,1.8,5.1,0.332848149,200,1.999,1.905,1.39,0.151,0.188,0.141,0.133,0.065273013,3.6,77.22,0,11.017,9.26,2.59,생활하수/처리수 영향
JS-24,0.150841673,30.3,7.1,7.6,1.2,5.5,1.827086801,188,1.25,1.206,0.761,0.089,0.102,0.072,0.056,1.915472561,3.8,7.904196002,0,8.029,7.7,2.22,토양-질소 기원
JS-25,0.044816764,31.1,7.4,8,1.9,5.2,1.097755787,197,1.77,1.674,1.271,0.065,0.155,0.102,0.091,1.678369534,3.5,48.56789664,0,10.679,8.88,3.25,생활하수/처리수 영향
JS-26,0.138095698,28.8,7,7.4,1,5.9,0.068724187,155,1.349,1.272,0.94,0.023,0.101,0.075,0.067,1.560400508,4.2,77.22,0,7.823,7.78,2.31,토양-질소 기원
JS-27,0.240631369,31.8,7.4,8.9,1.5,4.7,3.360788639,209,2.045,1.956,1.575,0.037,0.161,0.123,0.115,0.314051919,3.5,1.467162349,0,11.242,10.16,5.48,생활하수/처리수 영향
JS-28,0.00061952,26.9,7.3,7.4,1.1,5.6,3.122515546,219,3.087,3.064,2.59,0.041,0.135,0.093,0.084,0.26419048,4,4.29647679,0,9.698,6.4,4.04,토양-질소 기원
JS-29,0.002472806,30.9,7.6,8.6,2.2,5.5,1.379469787,195,1.895,1.787,1.432,0.046,0.14,0.089,0.077,2.871,3.9,59.88265547,0,10.549,8.77,4.63,생활하수/처리수 영향
JS-30,0.11958599,24.7,8.2,4.8,0.7,3,0.273539555,198,1.09,0.997,0.833,0.018,0.055,0.041,0.035,1.311355887,2.4,1.803515816,0,9.703,13.99,6.17,생활하수/처리수 영향
JS-31,0.00076868,30.8,7.3,6.3,2.7,5.1,0.234962931,180,1.724,1.615,1.307,0.027,0.114,0.076,0.07,1.717017745,3.4,2.255615819,0,10.162,9.02,4.45,생활하수/처리수 영향
JS-32,0.00097113,29.6,8.9,5,1.3,6.5,3.39448661,213,1.924,1.847,1.182,0.247,0.289,0.246,0.229,2.871,4.6,77.22,0,12.733,9.96,4.86,생활하수/처리수 영향
JS-33,0.056707563,31,8.8,7.3,1.5,5.6,0.930536352,282,2.442,2.353,1.624,0.26,0.17,0.118,0.104,0.683135766,4.1,9.306412965,0,30.185,10.63,2.47,생활하수/처리수 영향
JS-34,0.84447,31.8,9.1,8,1.4,5.1,1.175133103,180,1.568,1.56,1.233,0.04,0.128,0.093,0.085,2.871,3.5,0.028578735,0,10.728,9.52,4.3,생활하수/처리수 영향
JS-35,0.001842768,31.3,9.5,6.7,1.4,5.6,3.663,194,1.896,1.792,1.335,0.089,0.178,0.124,0.122,2.871,3.9,77.22,0,11.643,9.29,4,생활하수/처리수 영향
JS-36,1.01E-05,31.9,9.3,7.9,1.5,5.5,0.541732703,192,2.032,1.907,1.589,0.041,0.159,0.111,0.098,0.749183102,3.7,0.641935565,0,11.913,10.68,3.97,생활하수/처리수 영향
JS-20B,0.338281033,28.2,7.4,7.1,8.9,11,1.037742039,293,7.461,6.693,3.921,2.302,0.462,0.209,0.174,0.827987665,7.6,0.14897192,0,33.569,12.98,2.63,생활하수/처리수 영향
JS-22B,0.000261131,27.9,7.1,7.4,0.8,5.3,2.099100577,440,2.917,2.895,1.296,1.158,0.036,0.019,0.008,2.871,3.7,0.092736525,0,60.531,20.47,1.22,축산분뇨(직접유출)
JS-1,5.67E-05,25.3,7.6,7.9,1,3.9,0.587526946,134,0.583,0.487,0.348,0.049,0.06,0.029,0.014,2.355275053,2.9,77.22,0,11.195,7.02,1.72,토양-질소 기원
JS-2,3.46E-05,26.3,7.2,6.6,0.9,3.3,0.641535201,114,0.579,0.549,0.426,0.022,0.033,0.021,0.009,0.117417064,2.5,0.034355163,0,5.66,10.19,4.17,생활하수/처리수 영향
JS-3,0.84447,26.1,6.9,7.9,1,3.3,2.466106816,130,0.575,0.473,0.394,0.039,0.044,0.019,0.01,2.871,2.4,77.22,0,8.038,9.24,4.72,생활하수/처리수 영향
JS-4,1.22E-05,25.5,7.2,7.6,1.2,3.9,0.816331798,79,0.44,0.353,0.26,0.05,0.045,0.023,0.012,0.472058268,2.6,2.629967249,0,4.449,6.89,0.98,토양-질소 기원
JS-5,0.003100166,26.6,7,6.9,1.3,3.5,0.115166493,119,0.583,0.517,0.381,0.079,0.049,0.027,0.016,0.245666674,2.5,0.051896769,0,7.773,9.21,2.58,생활하수/처리수 영향
JS-6,0.001140182,25.5,7.1,7.7,1.6,4.1,3.663,99,0.557,0.447,0.335,0.041,0.062,0.027,0.015,0.198748683,2.9,5.808736872,0,5.967,8.05,1.92,생활하수/처리수 영향
JS-7,1.88E-05,26.7,7,6.3,1.3,3.3,0.391425524,113,0.516,0.447,0.371,0.037,0.042,0.021,0.011,2.871,2.4,0.055983701,0,7.407,9.14,2.24,생활하수/처리수 영향
JS-8,0.004958283,25.9,7,6,1.1,3.9,0.22041411,145,1.639,1.501,1.385,0.067,0.248,0.19,0.184,0.12749064,2.6,0.685520519,0,7.949,8.84,11.7,생활하수/처리수 영향
JS-9,2.04E-05,28.5,6.9,6.6,1.4,3.8,0.182939671,131,0.753,0.679,0.534,0.06,0.085,0.055,0.044,1.094146624,2.6,77.22,0,7.769,9.59,7.67,생활하수/처리수 영향
JS-10,0.000279689,27.3,7,6.6,1.7,5.3,3.663,214,1.384,1.268,0.713,0.306,0.156,0.094,0.087,0.886830034,4.2,2.99475625,0,15.561,9.7,-0.45,생활하수/처리수 영향
JS-11,0.049440617,28,7.1,7,1.3,5.1,0.123810695,142,1.148,0.999,0.78,0.077,0.146,0.09,0.085,0.153313262,3.8,0.79002835,0,8.522,8.35,8.55,생활하수/처리수 영향
JS-12,0.84447,26,7.2,8,1.3,3.5,3.480875323,106,0.877,0.818,0.675,0.027,0.053,0.026,0.017,2.490355822,2.7,4.387467199,0,4.82,7.25,2.76,토양-질소 기원
JS-13,0.001305968,26.9,7.3,8.2,1.3,4.1,0.68145602,131,1.127,0.989,0.886,0.035,0.088,0.057,0.05,0.158598693,3,26.20141224,0,6.709,7.76,6.5,토양-질소 기원
JS-14,0.000324399,26.3,7,7.1,2.5,8.1,0.145609749,163,1.784,1.635,1.167,0.126,0.178,0.105,0.089,2.410541093,5.9,77.22,0,10.085,7.51,2.52,토양-질소 기원
JS-15,0.121298454,27.7,7,6.3,1.8,5,0.150014585,128,1.243,1.169,0.903,0.072,0.124,0.085,0.074,2.388263888,3.7,77.22,0,7.522,7.41,4.71,토양-질소 기원
JS-16,0.089432261,26.2,6.6,6.1,2.3,6.6,1.25790658,129,1.173,1.043,0.705,0.088,0.117,0.068,0.056,0.939859943,4.9,0.135666453,0,7.574,7.64,5.69,토양-질소 기원
JS-17,0.043738376,27.5,6.6,6.5,2.6,5.4,0.717159764,130,1.348,1.203,0.93,0.084,0.151,0.104,0.095,0.517969692,3.9,19.81265873,0,7.475,7.67,5.16,토양-질소 기원
JS-18,0.611873495,26.1,6.7,6.3,1.5,4.5,0.424709691,198,0.742,0.663,0.568,0.016,0.037,0.02,0.009,1.014553066,3.3,0.241868236,0,6.221,8.68,2.03,생활하수/처리수 영향
JS-19,5.14E-05,28.3,6.9,7.4,1.9,5.2,0.744887284,135,1.159,1.033,0.753,0.104,0.153,0.094,0.086,2.290795858,3.5,77.22,0,7.185,8.79,4.2,생활하수/처리수 영향
JS-20,0.003341605,28.2,7,7.5,1.7,4.3,1.538231231,262,1.155,1.042,0.86,0.057,0.097,0.057,0.047,2.070312395,3.1,51.29806103,0,13.066,11.42,2.79,생활하수/처리수 영향
JS-21,9.41E-05,28.7,7,7,2,4.9,1.273113969,194,1.367,1.214,0.939,0.108,0.14,0.081,0.072,2.871,3.5,3.515815435,0,11.004,9.89,2.56,생활하수/처리수 영향
JS-22,0.211476742,27.5,6.8,7.5,1,3.7,3.152885664,230,0.718,0.676,0.527,0.019,0.05,0.039,0.029,0.235601878,2.5,77.22,0,24.808,17.27,2.92,생활하수/처리수 영향
JS-23,0.036518522,29.2,7,7.7,1.7,4.9,0.212454001,188,1.289,1.162,0.903,0.082,0.131,0.082,0.073,2.871,3.6,6.439101036,0,10.804,10.08,3.24,생활하수/처리수 영향
JS-24,0.004553494,27.5,7.1,7.1,1.2,5.1,1.390605122,200,1.132,1.024,0.778,0.059,0.108,0.062,0.053,0.305108504,3.7,17.16037143,0,9.93,7.85,3.26,토양-질소 기원
JS-25,0.001544341,28.2,7,7.2,1.3,5.2,0.266678237,185,1.277,1.177,0.915,0.067,0.135,0.09,0.081,2.12808068,3.4,19.01427291,0,10.573,9.86,2.83,생활하수/처리수 영향
JS-26,2.09E-05,27.3,6.9,6.8,0.8,4.9,0.996780136,160,0.8,0.739,0.51,0.037,0.106,0.076,0.068,1.281503582,3.6,0.013743282,0,9.635,9.98,3.92,생활하수/처리수 영향
JS-27,0.481087173,28.8,6.8,7,1.8,5.1,0.9118221,189,1.618,1.441,1.167,0.052,0.143,0.08,0.071,1.009745245,3.7,9.498081559,0,11.706,9.65,3.86,생활하수/처리수 영향
JS-28,0.009511336,26.6,7.1,7.1,1.2,5.2,1.088984328,220,1.396,1.301,1.054,0.053,0.092,0.057,0.047,2.871,3.8,14.87151602,0,13.18,10.56,3.04,생활하수/처리수 영향
JS-29,0.003525175,29.3,6.3,6.9,1.7,5.3,0.857650222,196,1.585,1.392,1.205,0.045,0.164,0.108,0.098,2.871,3.9,1.536732543,0,12.543,9.46,5.88,생활하수/처리수 영향
JS-30,0.005229293,25.2,6.7,4.4,1.3,4.2,1.608545283,174,0.386,0.283,0.209,0.019,0.078,0.042,0.037,2.73535317,2.3,0.288221835,0,8.247,13.92,6.38,생활하수/처리수 영향
JS-31,4.70E-06,28.8,6.5,7,1.4,5.3,0.953446317,201,1.254,1.112,0.907,0.031,0.13,0.085,0.078,1.348021493,3.7,1.201039868,0,11.821,10.47,4.58,생활하수/처리수 영향
JS-32,0.01014637,28.7,6.6,5.4,1,5.3,0.086362032,204,0.986,0.909,0.678,0.037,0.167,0.129,0.124,0.084638342,3.9,32.31532872,0,11.986,10.58,2.88,생활하수/처리수 영향
JS-33,0.002875687,28.9,6.7,7.8,2.2,6.1,0.908119591,269,1.577,1.399,1.051,0.086,0.151,0.084,0.074,2.051429705,4.6,0.841717411,0,28.886,10.77,0.17,생활하수/처리수 영향
JS-34,0.008097205,29.4,7.1,7.6,1.3,4.8,2.268335128,201,1.099,0.987,0.753,0.028,0.125,0.09,0.081,1.709217451,3.6,0.061756827,0,11.917,10.85,4.29,생활하수/처리수 영향
JS-35,0.000650256,27.9,7.1,6,1.3,6.1,0.55169023,222,1.352,1.21,0.894,0.053,0.159,0.095,0.087,0.697434136,4.5,56.64717118,0,15.403,10.58,2.82,생활하수/처리수 영향
JS-36,0.000113081,29.3,6.9,7.7,1.3,5.3,0.285709865,204,1.273,1.127,0.916,0.04,0.131,0.081,0.076,0.329990846,3.9,0.01620859,0,12.534,11.38,3.18,생활하수/처리수 영향
JS-20B,0.000502585,26.8,6.8,6.6,9.4,12.9,0.50073978,345,7.306,6.236,3.395,2.445,0.583,0.267,0.244,0.624658583,8.8,77.22,0,42.621,12.28,-1.7,생활하수/처리수 영향
JS-9B,0.018739667,6.831,0.099,3.069,2.5,6.7,1.682478346,45.08368112,2.728,2.447,1.635,0.484,0.098,0.034,0.01,2.501997739,4.7,77.22,0,67.588,20.5,5.45,축산분뇨(직접유출)
JS-1,0.000346614,25.8,7.6,7.8,1.1,4.6,0.435424748,152,0.472,0.357,0.217,0.041,0.051,0.025,0.01,0.532857168,2.7,0.003739013,0,11.678,6.82,2.14,토양-질소 기원
JS-2,2.26E-05,26.2,6.9,6,0.8,3.5,0.155916075,120,0.441,0.396,0.264,0.023,0.028,0.018,0.007,0.165713357,2.3,14.72046703,0,5.964,9.64,5.64,생활하수/처리수 영향
JS-3,0.034011695,26.7,6.9,8,0.9,3.2,3.294806124,138,0.412,0.319,0.209,0.035,0.035,0.017,0.005,2.871,2.4,77.22,0,8.822,8.95,4.49,생활하수/처리수 영향
JS-4,5.58E-06,25.9,7.2,7.7,0.8,4.5,0.092149713,85,0.427,0.319,0.197,0.042,0.043,0.024,0.008,0.091118318,2.7,7.1352125,0,4.915,6.06,1.17,토양-질소 기원
JS-5,0.005064962,27.7,7,7,1,4.1,0.941928741,126,0.479,0.378,0.23,0.065,0.046,0.027,0.011,1.329572079,2.7,0.016861994,0,8.266,8.14,2.14,생활하수/처리수 영향
